IDcode,a,sigmasq,mean_criterion,sd_criterion,mad_criterion,mean_abs_diff_criterion
944548,0.86470735,0.090000235,-0.05081801,0.20239143,0.14777236,0.029018283
953958,0.9044109,0.11456599,0.12157211,0.53781915,0.41757324,0.044772543
954010,0.87451905,0.0887606,-0.15190059,0.33112168,0.21008804,0.030497205
954564,0.8965856,0.09606914,0.07557896,0.42170197,0.3281623,0.03675815
954995,0.91156197,0.13120875,-0.6639854,0.61466527,0.50895196,0.050512552
955009,0.9102673,0.13395078,-1.0629793,0.538876,0.40829998,0.042079434
955021,0.8638957,0.093327485,0.44320828,0.13226911,0.097539514,0.025806477
955023,0.9051333,0.21913771,0.6963489,0.684539,0.55263555,0.0756604
955077,0.8852392,0.11870861,-0.97232205,0.3588384,0.31386533,0.040505722
955083,0.86747205,0.12738112,-0.86622256,0.23638435,0.18571931,0.04247149
955102,0.91297364,0.10241723,1.7519984,0.41124535,0.3488301,0.034144282
955119,0.8864152,0.103323966,0.71389055,0.35221767,0.2981177,0.031911384
955240,0.88706005,0.11145964,-0.7182997,0.3878037,0.3371287,0.04556702
955276,0.87925893,0.15211996,-0.1170356,0.3926117,0.26776755,0.053331524
955303,0.8696796,0.09239676,-0.27655593,0.26449528,0.2263795,0.039814487
955342,0.8740217,0.15819095,-0.38191685,0.3608691,0.26679343,0.056891743
955383,0.89572203,0.17659985,-1.4851208,0.45284253,0.37223995,0.05473834
955683,0.9137458,0.26832995,-0.9673518,0.7503884,0.61969256,0.0832077
955984,0.894337,0.2787528,-0.32386094,0.64159733,0.49478307,0.07442589
956021,0.8761722,0.102601334,-0.38366455,0.32255784,0.24056223,0.042095285
956352,0.86681336,0.104729004,0.2184997,0.26881486,0.21367808,0.0453136
956553,0.8764141,0.09035425,-0.7155757,0.30259696,0.22930418,0.029699398
956843,0.8800969,0.10518195,-0.95281345,0.30610627,0.23437452,0.035366613
956927,0.8786138,0.121783525,0.08025421,0.31440213,0.26133573,0.03987954
956993,0.8599147,0.08440199,0.012793478,0.18040417,0.14873055,0.033362255
957089,0.8852875,0.13185793,-0.027760604,0.40515336,0.32494244,0.044753823
957126,0.8877137,0.1221085,-0.48676598,0.39334825,0.3248795,0.044521313
957158,0.8639493,0.06621761,0.042794216,0.16953284,0.14352022,0.023333147
957167,0.8991581,0.29766786,-1.2781687,0.66996485,0.5443137,0.10067613
957953,0.8689379,0.08487168,-0.06849086,0.23967597,0.20356949,0.032396555
958100,0.8793471,0.12242461,0.0001598696,0.27009165,0.20736966,0.027719047
958257,0.87123495,0.08837055,0.12774152,0.24122307,0.17196716,0.03357056
958360,0.9040027,0.16330314,-1.2578406,0.4809703,0.41378525,0.05068531
958541,0.8743096,0.10986972,0.0018719634,0.25494653,0.22037512,0.037385385
958563,0.9215983,0.0997818,-0.40595123,0.62339973,0.48718092,0.04262554
958577,0.8600372,0.08138836,0.05160285,0.16234326,0.1353404,0.026932238
958619,0.8937398,0.12957756,-0.46301773,0.44180807,0.36251017,0.0471485
