correlation_w0,correlation_w1,correlation_w2,correlation_mu_x,correlation_a,correlation_sigmasq,mean_correlation_states,median_correlation_states
0.9576581463150043,0.9687179970933915,0.9567955970485839,0.4861664902852662,0.5977395667208094,0.3554619767884042,0.75439703,0.7795535
0.9652150330015005,0.9604179502221225,0.9559407122664174,0.4888779489840136,0.4533415677407753,0.46479790818537436,0.75540894,0.79178727
0.9626636441085172,0.9588258010123014,0.9654314072877452,0.43459394446786365,0.43098868898996834,0.4974606974091095,0.74320745,0.77845633
0.9594457398733001,0.9653783454736797,0.9633790942348336,0.4032833471392312,0.4379949119616068,0.4482317150462669,0.76490325,0.7931577
0.9669495647457305,0.9605299696073719,0.963828645715111,0.4760647000386172,0.4824161991822584,0.39954926936829904,0.75273913,0.79542637
0.9669395419586293,0.9523622824834108,0.9586480439351819,0.5852051870871127,0.47019576861511614,0.38876769832589975,0.76127285,0.79449
0.9636532469408389,0.9664885165390724,0.9655947197599246,0.46953957084783926,0.40057778419760215,0.39573677802769236,0.7518677,0.7879752
0.9670430124960571,0.9626660024113646,0.9594613636296637,0.48462681331379864,0.4306729711962785,0.41616999826075163,0.7476618,0.78091395
0.9645623726884945,0.956498745677673,0.9631470961922252,0.4048722536826372,0.4677177818982568,0.4232160175929392,0.7581471,0.8009726
0.9618034531449441,0.9625681328431994,0.9695758297541174,0.49242807913285197,0.4247338802630686,0.4576935208577147,0.77059424,0.8002914
0.9622205779610702,0.9661409616569435,0.967142356003502,0.556949181521518,0.43276979721543385,0.48298572931989486,0.75995904,0.77766055
0.962495615030643,0.9633136513308196,0.9593685054550493,0.45143104764656106,0.3524100381160697,0.3744315753168232,0.76016194,0.7793827
0.9631574137671822,0.9624313512780527,0.9639704386738083,0.5205564415568334,0.47836168701194176,0.4046051758851742,0.7547359,0.79801667
0.9650352124093894,0.9675205688226467,0.9671214260657316,0.48603118265939904,0.4688136903027845,0.44561488324926957,0.7380978,0.77602684
0.964865119816524,0.9574096401524641,0.963777057840325,0.5603566343480912,0.4283871861614788,0.4146211828657506,0.74758834,0.7874769
0.9621630943291659,0.9660519357244558,0.9661049975385213,0.4980992079050311,0.4633581642970636,0.4319597201873671,0.75521636,0.7825456
0.9631167330430654,0.9618394172633662,0.956937979582993,0.4886058597929999,0.44898401365457336,0.3762869700819805,0.75242543,0.78009003
0.962612940597299,0.9593186863073987,0.9617058018455072,0.48674840151285115,0.4392044265344444,0.3905249287350358,0.74701905,0.77687085
0.9620056776141048,0.9659761752454845,0.964539084447877,0.4375857464175905,0.3163897859243071,0.4342225117694051,0.7579485,0.79444575
0.9647357079477752,0.9668587700861074,0.9636641540915079,0.48303289537684196,0.405960610446692,0.43109864486022625,0.7421824,0.7810445
0.9663803293959501,0.9636290743366535,0.964227788472026,0.49247141294767216,0.4669510386850103,0.431883075344828,0.7582355,0.78399646
0.9651330819775547,0.9669584083814082,0.9679801430900251,0.4316139340323736,0.37176079734219264,0.4111070168353344,0.75520146,0.7795676
0.9667741659714586,0.9640712561205328,0.962587294053834,0.4819359897649656,0.4053144354665165,0.5332072623936183,0.75139207,0.777763
0.9622023011140032,0.9706568168217741,0.9632237410347643,0.4775987760408221,0.42687698797560325,0.3954767751387713,0.7531996,0.77925205
0.9629743505086562,0.9639798718851976,0.9650526048928887,0.5101404074557744,0.39589360516704153,0.5112160883420246,0.7537832,0.7911804
0.9646328269860595,0.9686767267935629,0.9556686230754036,0.4905953830326006,0.4932039607696321,0.4182615180985003,0.7534018,0.7909734
0.9607811288606155,0.9678905275818256,0.9654293437727538,0.5051752955985225,0.38244143172871303,0.37666370896184553,0.75283355,0.77875173
0.9534019992512387,0.9625044586663207,0.9576481235279031,0.43072868610104736,0.42319715117016027,0.3979249882821827,0.7504363,0.7717366
0.9599462896526513,0.9652389108178299,0.9707337564521691,0.5216916695899796,0.4084220890436197,0.37756310671025595,0.74616474,0.7759023
0.9666972263410637,0.9644759998467102,0.9596379415553595,0.49069708484289276,0.3969563153876312,0.4363072514864677,0.74591666,0.77198374
0.9646151397147041,0.9664861582362251,0.95639203247383,0.4894589758480309,0.3458607363211065,0.44851205829724633,0.7495511,0.77674824
0.9598720031129597,0.9620699413666954,0.9680488286604544,0.4012437099641243,0.43976481824854735,0.44365631273454054,0.7623102,0.789842
