IDcode,a,sigmasq,mean_criterion,sd_criterion,mad_criterion,mean_abs_diff_criterion
1102002,0.8181646,0.066061534,0.04186522,0.0761429,0.0553105,0.020167563
1105080,0.8348238,0.097005844,-0.018393815,0.16549636,0.12999658,0.030748254
1105574,0.8148049,0.07501245,0.060545847,0.12148006,0.10242363,0.027923029
1106651,0.83186436,0.09238574,0.8681976,0.18599631,0.14165969,0.027721778
1107155,0.8218765,0.08828146,-0.3332366,0.12953526,0.10876633,0.028201094
1107685,0.8660837,0.118311465,-0.57978344,0.32448196,0.23951553,0.03920576
1107856,0.87309486,0.10341589,0.51639193,0.32766375,0.29313248,0.03525824
1109430,0.86325926,0.12843594,0.7011078,0.32725903,0.2254485,0.04128516
1109466,0.8554523,0.114036724,0.09298514,0.28744918,0.2096438,0.035193443
1111115,0.8272148,0.07268857,0.2275976,0.18974292,0.13935031,0.026476948
1112029,0.8932142,0.10910186,-2.1935909,0.23736218,0.20017599,0.031349536
1112249,0.8630071,0.0835493,-1.2827642,0.23787123,0.19528058,0.024486005
1113140,0.8287928,0.09310477,0.5273572,0.18394636,0.15114915,0.038011864
1113314,0.899048,0.3068622,-0.8071329,0.7699259,0.61306906,0.10247728
1113399,0.8246408,0.06668533,-0.05209401,0.106554486,0.08482221,0.021308286
1114743,0.885228,0.15576652,1.1785617,0.43055487,0.36230776,0.057282086
1114859,0.8268608,0.08047507,-0.61572343,0.11431521,0.09369977,0.022487799
1117048,0.87060106,0.18591662,-0.043692183,0.44664475,0.36946788,0.06385312
1123812,0.8413743,0.08949902,0.68016446,0.20666721,0.14818195,0.030700471
1136398,0.8761109,0.10896334,-0.12449727,0.3874004,0.32440698,0.04437305
1139756,0.8711973,0.14138272,0.6335177,0.36124095,0.29369524,0.04657884
1161576,0.88051265,0.106309146,-0.24600749,0.40967,0.32334515,0.034798693
1164558,0.8449758,0.09194681,0.24098462,0.21588902,0.15786567,0.030235982
