mu_sigmasq,beta_sigmasq,sigma_mu_x,mu_a,sigma_a,w0,w1,w2,sigma_w0,sigma_w1,sigma_w2,mu_sigmasq_var,beta_sigmasq_var,mu_a_var,sigma_a_var,w0_var,w1_var,w2_var,sigma_w0_var,sigma_w1_var,sigma_w2_var,posterior_q25_mu_sigmasq,posterior_q975_mu_sigmasq,posterior_q25_beta_sigmasq,posterior_q975_beta_sigmasq,posterior_q25_sigma_mu_x,posterior_q975_sigma_mu_x,posterior_q25_mu_a,posterior_q975_mu_a,posterior_q25_sigma_a,posterior_q975_sigma_a,posterior_q25_w0,posterior_q975_w0,posterior_q25_w1,posterior_q975_w1,posterior_q25_w2,posterior_q975_w2,posterior_q25_sigma_w0,posterior_q975_sigma_w0,posterior_q25_sigma_w1,posterior_q975_sigma_w1,posterior_q25_sigma_w2,posterior_q975_sigma_w2,mean_subject_true_a,sd_subject_true_a,mean_subject_true_w0,mean_subject_true_w1,mean_subject_true_w2,sd_subject_true_w0,sd_subject_true_w1,sd_subject_true_w2,num_trials,num_subjects
0.2513975,0.38320285,0.67424095,0.9781863,0.032833077,0.00032208147,0.20009601,-0.011638821,1.0136786,1.0412815,1.0381765,0.0007914437,0.0071986984,8.267867e-05,4.778524e-05,0.003148612,0.0038224084,0.003291561,0.001913098,0.002087917,0.0020653987,0.21023668,0.3183995,0.24772507,0.5630476,0.51850617,0.82688105,0.9624394,0.9940942,0.02215834,0.046880737,-0.11274268,0.110179484,0.07546362,0.32196358,-0.12271394,0.110497944,0.9311112,1.1023276,0.9591401,1.1311308,0.9535427,1.1297741,0.96467215,0.020746794,-0.017035633,0.1904607,-0.04932054,0.99633104,1.0161172,1.0253588,144,344
0.25424638,0.50563467,0.54177946,0.96457136,0.02864478,-0.0047063944,0.27802372,-0.13732795,1.0069213,1.0228213,0.95952517,0.0005386826,0.026303625,6.244558e-05,9.9020115e-05,0.003066758,0.0036128184,0.0029097677,0.0018505245,0.001965092,0.0018370415,0.21503273,0.30890322,0.27970782,0.86874884,0.41517037,0.6852524,0.9536021,0.98858374,0.014465383,0.053328007,-0.10742522,0.109430976,0.16606517,0.39570102,-0.243305,-0.035490815,0.9253846,1.0990287,0.94173443,1.1114755,0.8795817,1.0470722,0.9664556,0.020578124,0.01376152,0.29897642,-0.14518921,0.9982138,1.0236714,0.96889806,144,344
0.21989335,0.4821838,0.5639851,0.9732205,0.025891274,0.09042608,0.23756543,-0.14740941,0.94118255,0.9825248,1.0138931,0.0005433275,0.010649626,6.607626e-05,5.675437e-05,0.003001299,0.002964344,0.0031688386,0.0018786386,0.0017326737,0.0018294979,0.1804703,0.26913062,0.29596943,0.67268795,0.4409583,0.7134734,0.96157,0.9906354,0.011094209,0.040306706,-0.015538463,0.19887188,0.13248335,0.34692156,-0.25664824,-0.0367092,0.8610549,1.0279362,0.90640557,1.0636214,0.93351495,1.100127,0.96473056,0.021342156,0.045423068,0.236768,-0.14249514,0.953288,0.9277007,0.995193,144,344
0.26734188,0.5126736,0.6704117,0.98095447,0.044659458,0.052080385,0.16502427,-0.041640073,1.0549664,1.0757098,1.0389401,0.00048584046,0.008347527,8.4521715e-05,4.6178982e-05,0.003437295,0.0034945516,0.0033392636,0.0020377985,0.0022189475,0.0018916939,0.23060562,0.31502083,0.37465075,0.7450862,0.5312052,0.8080221,0.961401,0.9938916,0.030976966,0.05810123,-0.065880105,0.16279711,0.045372963,0.27466956,-0.1568946,0.067518026,0.9704226,1.147991,0.9894277,1.1692079,0.95511544,1.1203809,0.96716785,0.020306356,0.051169466,0.15860689,-0.055436656,1.0258868,1.0726416,0.990526,144,344
0.27428716,0.42065522,0.60039604,0.9688968,0.03603051,-0.0103298975,0.11905661,-0.1363758,1.0620594,0.98810846,1.0694634,0.00060587766,0.004542519,0.00012121203,9.993057e-05,0.003398092,0.0031607267,0.0037962447,0.0019707277,0.0017439865,0.0023481776,0.23181285,0.32866696,0.30967167,0.58037925,0.46133235,0.7324018,0.953908,0.9934752,0.021153525,0.058144238,-0.12378634,0.098252386,0.012790208,0.22760464,-0.25786775,-0.022032453,0.9784564,1.1551384,0.91357994,1.0720415,0.9790278,1.1688828,0.96554035,0.02035536,-0.055809807,0.110733345,-0.1416917,1.0200899,0.9945071,1.0262218,144,344
0.27507168,0.41608804,0.56587607,0.9710413,0.030346211,-0.028194878,0.18547492,-0.15187612,0.97447085,0.995799,1.0493283,0.0005838598,0.0055892873,0.00010158,5.511708e-05,0.0031589342,0.0031630332,0.0034759813,0.0017569779,0.001977403,0.0020319715,0.23128718,0.32386988,0.29367185,0.5706709,0.43750075,0.69554096,0.95534605,0.9929233,0.016192578,0.04442555,-0.13366958,0.079218104,0.073433444,0.2934909,-0.2643037,-0.031740427,0.89390814,1.057155,0.91036326,1.0868949,0.965719,1.1377001,0.9642561,0.020154348,-0.06742484,0.17593448,-0.1467723,0.9746174,0.9921712,1.0241426,144,344
0.26805058,0.5115586,0.57453126,0.9742727,0.038791593,0.028226007,0.17801738,-0.08635545,1.0507405,1.0209192,1.0122166,0.0006630218,0.014731936,0.00010911279,5.9944305e-05,0.0035849512,0.0032320826,0.0033292896,0.0021114028,0.00198016,0.0019333068,0.22829328,0.32503054,0.29393366,0.71829,0.4572625,0.68682986,0.95686424,0.9935899,0.026120447,0.055539295,-0.08651764,0.14783716,0.06623217,0.29397592,-0.19975266,0.027565083,0.96724194,1.1489227,0.9410548,1.1111668,0.9279393,1.098044,0.96542066,0.020026805,-0.0019391332,0.15134984,-0.08021355,1.0080132,1.0285076,1.0233735,144,344
0.30782858,0.40529516,0.50670236,0.9700651,0.0376309,0.034945544,0.23487306,-0.08256348,1.0388817,0.992336,0.97644675,0.0009019572,0.008988134,0.00011148468,7.5994765e-05,0.0035991615,0.0029688664,0.0029929036,0.0019870494,0.0018020715,0.0017709829,0.25932387,0.37707055,0.25936726,0.6223982,0.41362393,0.6293595,0.95338285,0.99194026,0.02151958,0.053996485,-0.07974421,0.15129592,0.1264624,0.3403787,-0.19459441,0.017495347,0.9537088,1.1240208,0.9112964,1.0747403,0.8985366,1.0623215,0.96280974,0.021504328,0.036244158,0.2348473,-0.06412124,0.97672683,0.9806505,0.9396372,144,344
0.23866488,0.41396987,0.60836554,0.97074115,0.029214744,0.0115454905,0.15921201,-0.09801282,1.0086633,1.0368458,1.0612748,0.00031679778,0.009362201,8.260698e-05,9.319762e-05,0.0034608943,0.0035771332,0.0035570546,0.0018376502,0.0018256399,0.0021728994,0.20433632,0.27626508,0.27232718,0.6530579,0.46384254,0.7341367,0.9585336,0.9919479,0.011811989,0.047155496,-0.10733037,0.12740909,0.03970904,0.26766357,-0.2124373,0.013479843,0.9325877,1.097114,0.956377,1.119575,0.9793558,1.1602901,0.964493,0.021024965,0.012437616,0.17386433,-0.088815175,1.0060294,1.0185691,1.041398,144,344
0.29641443,0.50737953,0.6666748,0.9717493,0.04053452,0.060482416,0.1373784,0.0025773407,1.0322119,1.030931,1.071046,0.0006986963,0.007975157,0.000116506446,9.8209086e-05,0.0031577144,0.0034609577,0.0038029777,0.0020857994,0.0019343855,0.0020974856,0.25192377,0.35475683,0.36208922,0.71672976,0.52177155,0.8232693,0.95499337,0.9935673,0.021828962,0.059754502,-0.055993788,0.1662319,0.029088276,0.2538956,-0.11692643,0.12618375,0.9471402,1.1255163,0.950167,1.1232436,0.98470896,1.1644,0.9658276,0.020413116,0.043588195,0.13520251,-0.016211413,0.9790611,0.98657423,0.9969837,144,344
