correlation,rmse,generative_a,estimated_a,generative_sigmasq,estimated_sigmasq,generative_mu_x,estimated_mu_x
0.694530182461217,0.5770617,0.9611305,0.95271766,0.07085304,0.14418088,0.17737187,0.44972932
0.6532834981110843,0.643174,0.93115824,0.94587064,0.102121845,0.21208787,0.040762052,0.03971139
0.9375653082549633,0.9537574,0.95995235,0.9599418,0.1314148,0.22788514,-0.6910442,-0.49644607
0.7444297082228117,0.57622796,0.9561979,0.9484671,0.08041293,0.18694334,0.92426217,0.4939952
0.7834780162366369,0.99368095,0.9751533,0.97703314,0.20043157,0.14610007,0.8757046,0.6662007
0.6258620689655173,0.64624685,0.932136,0.93972915,0.10233722,0.20582734,-0.14911726,-0.06557498
0.7767783940197734,0.7853787,0.9683527,0.9453935,0.06369313,0.17405465,0.39510047,0.05246588
0.7981713688610241,0.7078137,0.9872458,0.9827856,0.21193163,0.22857301,-0.21406764,-0.20080504
0.6960654288240495,0.51199424,0.92279685,0.93610466,0.07826912,0.15770963,-0.031697787,0.08294994
0.42907322562494976,0.7720502,0.93256086,0.9443182,0.160125,0.14326134,-0.03551748,0.12738821
0.7140583554376659,0.51091814,0.9558992,0.93834466,0.08348831,0.22134958,-0.46249187,-0.061053704
0.7161321437183505,0.5579098,0.9470106,0.9583638,0.12201212,0.22848281,0.33586124,0.3107129
0.876907001044932,0.7821947,0.9865268,0.9674182,0.13874981,0.31612548,-0.06461232,-0.21242881
0.869512097098304,1.5664225,0.98462296,0.9832259,0.48608705,0.4905633,-0.8772522,-0.24463731
0.7140302226509122,0.6518193,0.9545666,0.9466096,0.13624984,0.34485707,0.24977958,0.34970272
0.5363033518205932,0.97623575,0.9604785,0.9455144,0.26784047,0.19482136,-0.5016184,-0.21137151
0.7455510007234146,0.6240354,0.95026714,0.9438885,0.093959175,0.1599797,-0.35504133,0.09455892
0.8106864399967848,0.66709805,0.9369267,0.95141053,0.15919317,0.18722583,0.0056986813,-0.134158
0.43196688369102165,0.8472694,0.9363535,0.9377289,0.22008368,0.14674741,-1.0679272,-0.3736872
0.6037818503335745,2.317807,0.99092555,0.9820115,0.39365226,0.47939077,-0.15967824,-0.2430397
0.8724298689815931,0.5087692,0.95904994,0.9628438,0.07544837,0.17234705,-0.22193277,0.15478687
0.6679085282533559,0.57780534,0.9201084,0.9447596,0.10583509,0.14057377,-0.34900257,-0.017584275
0.4251065026927096,0.87279475,0.9746619,0.9495419,0.13707659,0.13001984,0.5693308,0.6471713
0.8384977091873644,0.7145385,0.96692616,0.9540626,0.14736347,0.15368964,-0.0782879,-0.22118144
0.8837714010127804,0.91142476,0.9465095,0.96001446,0.40443906,0.34168586,-0.29934466,0.11604252
0.8457117595048629,1.0391763,0.90794146,0.9514417,0.36533302,0.67400444,0.096972,0.2106128
0.9189052326983361,0.7696389,0.9924448,0.97623,0.12993649,0.1739711,0.20584643,-0.40694058
0.6023832489349731,0.7644125,0.9926659,0.9765389,0.16614152,0.20336054,0.24996307,-0.46608484
0.7803673338156095,0.5646764,0.93885636,0.95456624,0.109778896,0.19624604,0.33283105,0.25716117
0.9093923318061249,1.1896452,0.9638623,0.98146796,0.55447876,0.2923603,-0.55915016,-0.099569924
0.7851820593199903,0.5712652,0.9627608,0.95141727,0.16337553,0.1870793,0.77937675,0.47295114
0.09255284944940119,0.76859003,0.9660274,0.9625462,0.12645754,0.18182872,-0.47749168,-0.41687897
0.8996583875894222,0.62414396,0.9824252,0.9535641,0.043929864,0.12165734,0.05832234,-0.46516848
0.8611044128285509,0.8475893,0.97038144,0.9525225,0.15734655,0.1281673,-0.094119236,0.35271835
0.8626758299172094,0.68875116,0.97984475,0.9788105,0.10221573,0.37330297,0.6708253,0.2591609
0.7609315971384937,0.5598552,0.94462013,0.9524606,0.07996757,0.17804901,-0.95995504,-0.28675482
0.6898005483892924,0.69770765,0.98325396,0.9480377,0.10661639,0.13192204,0.53646,-0.43651456
0.8674061570613296,0.5421853,0.96477896,0.96682656,0.10766228,0.18237284,0.08954643,0.2655511
0.79756048549152,0.8101204,0.9502583,0.95054275,0.22584848,0.24767616,0.31756103,0.5228854
0.6410778876296118,0.61736256,0.9467816,0.94519806,0.14046979,0.1395951,0.25213155,-0.097100444
0.7341009565147497,0.74246645,0.97342175,0.96561825,0.21461274,0.16591883,-0.026728095,-0.26971632
0.7517763845350052,0.7665221,0.9409366,0.9500623,0.17962547,0.2813695,0.7104656,0.5590495
0.800132625994695,1.0091351,0.9291382,0.97514594,0.42566952,0.19919926,0.87132734,0.37978044
0.8241379310344829,0.6892059,0.9801898,0.96284527,0.09377436,0.13528727,-0.31311,-0.3532244
0.506020416365244,1.118258,0.99063575,0.9749921,0.21549402,0.32069975,0.45878112,0.65088916
0.8207378828068483,0.8763909,0.95602185,0.95783544,0.3077702,0.22958128,1.0125535,0.560959
0.9028172976448838,0.8197623,0.9762438,0.96721524,0.18750179,0.25317514,-0.33626056,-0.08846838
0.763166144200627,0.6857169,0.95583665,0.9556966,0.14912744,0.2508937,0.5541116,0.23145923
0.8880435656297725,0.70733917,0.94179267,0.9486957,0.17136005,0.23863414,-0.21401866,0.017115502
0.7030704927256651,0.5277978,0.97129035,0.94391364,0.0842709,0.18889177,0.17935324,0.24415581
0.8236717305682824,0.9009677,0.9807092,0.96402884,0.22408877,0.34167978,0.6149132,-0.3809913
0.7810867293625914,0.75227106,0.98662686,0.9536463,0.15620455,0.26901478,0.38074788,-0.32965538
0.6278474399164055,0.53206724,0.94118977,0.9363894,0.067223005,0.21645416,-0.028760163,0.047237948
0.6684229563539908,0.80244154,0.9450937,0.94382757,0.13561435,0.13111044,0.20783447,0.11566857
0.7797283176593521,0.7343045,0.9733257,0.9612092,0.14087127,0.19570982,0.30834278,-0.15792386
0.7897476087131261,1.2394757,0.9719926,0.963251,0.5135249,0.24696144,-0.2824778,-0.20713048
0.7414114621011173,0.5902871,0.9533044,0.94723386,0.17963617,0.16171794,0.06964838,0.23317467
0.7725705329153605,0.93964994,0.96896464,0.95511043,0.11735011,0.12548743,0.43387374,-0.17224729
0.8641588296760712,0.75489336,0.9541863,0.9602971,0.1270498,0.19910125,-0.463899,0.07914492
0.9253918495297807,0.7422937,0.9318217,0.96562165,0.37411928,0.32592097,-0.9406859,-0.06647324
0.6888031508721164,1.0621405,0.9778922,0.9686321,0.19958828,0.33562246,-0.4280889,0.17825308
0.9698255767221284,0.83138573,0.97244847,0.9706393,0.20431447,0.28540742,-0.76262814,0.07186422
0.6614781769954183,0.657153,0.9424,0.9476907,0.12905507,0.19037019,0.5328073,0.43083644
0.8466120086809743,0.6279708,0.92981154,0.94452053,0.104427665,0.35962433,-0.016254986,-0.11459646
0.7978940599630255,0.50755084,0.9446398,0.94983196,0.08200662,0.1477742,0.09930071,0.0025024186
0.798492886423921,0.7981768,0.9474377,0.95054287,0.2143151,0.13961704,0.19809265,0.0012329393
0.8662768266216542,1.1405034,0.97152257,0.97000784,0.20939057,0.5501967,0.73468024,-0.24464132
0.8423318061249097,0.8546215,0.95416415,0.9611349,0.29130664,0.14900094,0.09355791,-0.39248082
0.881323848565228,1.2099053,0.96830064,0.97083086,0.30456376,0.60664207,-0.4682442,-0.10914093
0.8699461458082149,0.4895224,0.9746293,0.95543647,0.10571244,0.15302649,0.5597577,0.07207504
0.6897757414998795,0.67398673,0.9719743,0.959241,0.11475651,0.16480203,0.28512892,0.21296059
0.4621332690298207,0.62827885,0.9771411,0.93115205,0.078608245,0.21808511,-0.34902963,0.021150576
0.7479864962623584,0.7600479,0.9195101,0.94235796,0.28977752,0.16007352,0.3028368,0.1422343
0.7725665139458243,0.87977237,0.9862433,0.9611887,0.15343107,0.2911651,0.64781797,0.48978257
0.8362028775821879,14.775686,0.9931993,0.99003816,0.14020918,4.1060486,0.045138314,-0.033483546
0.7725062294027811,0.7856837,0.9719778,0.94908303,0.12553173,0.2587922,-0.02783999,0.09467775
0.7175829917209228,0.5875642,0.9868274,0.9479409,0.091577955,0.16155647,-1.2537627,-0.15412363
0.6848806366047746,0.81446326,0.9646665,0.9619096,0.26427996,0.16333131,-0.08354975,0.5617398
0.9213407282372801,0.9266893,0.9643134,0.9563652,0.48108554,0.23735213,0.15191177,-0.24868411
0.938758942207218,1.0439527,0.9861468,0.9823745,0.1755306,0.3909914,0.6929135,0.29974282
0.9483602604292259,1.0086323,0.9834989,0.98229146,0.27557942,0.40383554,0.7611915,0.1095183
0.774101760308657,0.74089986,0.9802501,0.956075,0.11344329,0.16387275,-1.285725,-0.26744586
0.71234627441524,0.64583486,0.9701551,0.9615024,0.13378422,0.1906302,0.53682935,0.24283433
0.6711156659432521,0.606182,0.95258343,0.94320214,0.09577999,0.13733318,-0.47491473,-0.44731626
0.778410095651475,0.7573603,0.9557675,0.95862395,0.23331209,0.14826874,-0.32663035,-0.23269355
0.7538702676633712,0.5526536,0.99228334,0.9578411,0.07580507,0.124279715,0.9175822,0.80527484
0.5700466200466201,0.8559067,0.96385974,0.96427095,0.18367586,0.18664792,0.8701125,0.6670658
