correlation,rmse,generative_a,estimated_a,generative_sigmasq,estimated_sigmasq,generative_mu_x,estimated_mu_x
0.6199693546662866,0.6021845,0.9611305,0.94289047,0.07085304,0.12889887,0.17737187,0.6000188
0.6890891597801051,0.48585948,0.93115824,0.9340468,0.102121845,0.17395948,0.040762052,0.27240747
0.917442896340377,0.6954074,0.95995235,0.96867496,0.1314148,0.32209882,-0.6910442,-0.48153532
0.7874587373215459,0.58808166,0.9561979,0.95621836,0.08041293,0.17106204,0.92426217,0.6575457
0.9092211355618689,0.7341537,0.9751533,0.9768048,0.20043157,0.25765142,0.8757046,0.3775892
0.6260297447625958,0.56734663,0.932136,0.9367929,0.10233722,0.18446644,-0.14911726,0.023098893
0.4213513102013975,0.7010117,0.9683527,0.9501593,0.06369313,0.12194219,0.39510047,0.7017249
0.8938518204170486,0.923258,0.9872458,0.98019123,0.21193163,0.22979619,-0.21406764,-0.19362022
0.6925631614581477,0.5420674,0.92279685,0.9422077,0.07826912,0.13567011,-0.031697787,-0.019852564
0.8067128182368889,0.842912,0.93256086,0.97433186,0.160125,0.15896632,-0.03551748,-0.36618066
0.5782994755307053,0.5633654,0.9558992,0.9341539,0.08348831,0.14804493,-0.46249187,0.06897463
0.6501624591422546,0.6463005,0.9470106,0.94796747,0.12201212,0.15339619,0.33586124,0.45344225
0.9111570395182268,0.67449117,0.9865268,0.97588813,0.13874981,0.24153851,-0.06461232,-0.11745505
0.8281140161908433,1.0574808,0.98462296,0.9479117,0.48608705,0.39573172,-0.8772522,0.027809633
0.783006417379079,0.66347337,0.9545666,0.95391643,0.13624984,0.17262703,0.24977958,0.5352746
0.7460052544113407,1.0615128,0.9604785,0.94034487,0.26784047,0.17682703,-0.5016184,-0.023912637
0.6182964952234096,0.7489249,0.95026714,0.9396171,0.093959175,0.29575026,-0.35504133,0.12669565
0.7968687336609512,0.59677315,0.9369267,0.9396798,0.15919317,0.16378704,0.0056986813,0.14396161
0.4801190827132458,0.8679917,0.9363535,0.9301585,0.22008368,0.11082061,-1.0679272,-0.34029588
0.7839069884966617,0.7696441,0.99092555,0.96035475,0.39365226,0.339972,-0.15967824,-0.4546424
0.8844327535771785,0.56770205,0.95904994,0.95854425,0.07544837,0.19990028,-0.22193277,0.17784725
0.5196573942395842,0.58041507,0.9201084,0.94020027,0.10583509,0.107337706,-0.34900257,-0.36803886
0.7180357183350449,0.7096069,0.9746619,0.9492824,0.13707659,0.1961195,0.5693308,0.7131398
0.7880003757778763,0.7549934,0.96692616,0.95681155,0.14736347,0.15416583,-0.0782879,-0.13628675
0.8706119024402885,0.9192496,0.9465095,0.95988756,0.40443906,0.28714207,-0.29934466,-0.014565602
0.8685321662622735,0.9500596,0.90794146,0.94748044,0.36533302,0.6476884,0.096972,0.14756489
0.9256594739757623,0.81221515,0.9924448,0.9766757,0.12993649,0.17394578,0.20584643,-0.4396517
0.7997401949509707,1.867004,0.9926659,0.9876669,0.16614152,0.4372585,0.24996307,-0.33763292
0.6848545318487947,0.7240697,0.93885636,0.95616823,0.109778896,0.19588895,0.33283105,0.29330993
0.7695172874020466,1.3038064,0.9638623,0.9830467,0.55447876,0.2866509,-0.55915016,-0.26102898
0.6648268668223769,0.62944156,0.9627608,0.9422395,0.16337553,0.18324195,0.77937675,0.6028329
0.8865720959011055,0.4888412,0.9660274,0.956501,0.12645754,0.20324051,-0.47749168,-0.2840002
0.86587710119763,0.606179,0.9824252,0.9486648,0.043929864,0.1895399,0.05832234,-0.26253206
0.9174105016958596,0.74393225,0.97038144,0.9758529,0.15734655,0.22341432,-0.094119236,0.007226619
0.8038193285885977,0.66172284,0.97984475,0.980455,0.10221573,0.19483487,0.6708253,0.51519406
0.6823821725792292,0.653979,0.94462013,0.9400694,0.07996757,0.19370943,-0.95995504,-0.53481156
0.7789333671102011,0.7856094,0.98325396,0.9699064,0.10661639,0.2020435,0.53646,-0.18050806
0.8955998354352057,0.6081627,0.96477896,0.9461203,0.10766228,0.32553077,0.08954643,0.2412841
0.8193765326716187,0.84271294,0.9502583,0.96258867,0.22584848,0.24797118,0.31756103,0.46430555
0.6363066217892859,0.61198705,0.9467816,0.94124454,0.14046979,0.1645407,0.25213155,-0.096857764
0.8654339424606324,0.6779258,0.97342175,0.9590151,0.21461274,0.25904787,-0.026728095,-0.28511488
0.6925968518884458,0.8268069,0.9409366,0.9533275,0.17962547,0.21662617,0.7104656,0.5827521
0.6970375097588867,1.2068441,0.9291382,0.95745146,0.42566952,0.23845635,0.87132734,0.5806175
0.9323573906761734,0.504132,0.9801898,0.97372097,0.09377436,0.13948987,-0.31311,-0.10692889
0.6596165121982034,1.021096,0.99063575,0.9803681,0.21549402,0.2791794,0.45878112,0.59460783
0.8581295980148561,0.90595764,0.95602185,0.95818007,0.3077702,0.32497293,1.0125535,0.619058
0.8507202949208437,0.7464561,0.9762438,0.9638584,0.18750179,0.21839426,-0.33626056,-0.032475058
0.8187234566381485,0.718206,0.95583665,0.96187174,0.14912744,0.20412731,0.5541116,0.33888045
0.8458364783134051,0.66925883,0.94179267,0.9488849,0.17136005,0.2043074,-0.21401866,-0.2664797
0.7789415373850394,0.47950906,0.97129035,0.9385811,0.0842709,0.14596094,0.17935324,-0.295584
0.9643438626726228,0.7423307,0.9807092,0.9741894,0.22408877,0.30569845,0.6149132,-0.09764019
0.6621873511871017,0.82813513,0.98662686,0.94115824,0.15620455,0.15145686,0.38074788,-0.24510868
0.5804180852821411,0.56300837,0.94118977,0.93797344,0.067223005,0.19640693,-0.028760163,0.17192304
0.7267563566391203,0.67623985,0.9450937,0.9423383,0.13561435,0.2530616,0.20783447,0.080999784
0.636424538295329,0.77944946,0.9733257,0.94425565,0.14087127,0.22984186,0.30834278,-0.18958414
0.7473463926943598,1.1877613,0.9719926,0.9521076,0.5135249,0.36837524,-0.2824778,0.12038251
0.6992753318021464,0.66778296,0.9533044,0.9435571,0.17963617,0.144771,0.06964838,0.51205546
0.619776282584963,0.8499232,0.96896464,0.939059,0.11735011,0.12708844,0.43387374,0.0076479716
0.8270747959947262,0.7511748,0.9541863,0.9687701,0.1270498,0.12919515,-0.463899,-0.0039523784
0.906597169355962,0.84442073,0.9318217,0.95739675,0.37411928,0.36713588,-0.9406859,-0.20543599
0.8990401466829503,0.6642055,0.9778922,0.96711606,0.19958828,0.26706633,-0.4280889,-0.018066179
0.9472019125798122,0.81203806,0.97244847,0.96685374,0.20431447,0.27118653,-0.76262814,0.009797341
0.5785702947588703,0.68486273,0.9424,0.9333355,0.12905507,0.18931115,0.5328073,0.42346954
0.8740612841884978,0.49569726,0.92981154,0.95001787,0.104427665,0.170853,-0.016254986,0.07642559
0.795443369302187,0.61451805,0.9446398,0.9399927,0.08200662,0.10678898,0.09930071,0.14192745
0.7956882728147382,0.82069933,0.9474377,0.9553145,0.2143151,0.15003681,0.19809265,-0.2282462
0.8992850501955015,0.943593,0.97152257,0.9655092,0.20939057,0.38530007,0.73468024,-0.053243995
0.8658537770535774,0.8547676,0.95416415,0.9525738,0.29130664,0.17110682,0.09355791,-0.36202914
0.8832769126607989,1.2473261,0.96830064,0.97645134,0.30456376,0.45456648,-0.4682442,-0.16955423
0.7674090439368564,0.73745024,0.9746293,0.94524956,0.10571244,0.18356775,0.5597577,0.19145554
0.7474094804254069,0.54487777,0.9719743,0.9459218,0.11475651,0.13868032,0.28512892,0.56622756
0.4583343321682059,0.5475623,0.9771411,0.9339667,0.078608245,0.145249,-0.34902963,0.027923722
0.7275610396089318,0.7779537,0.9195101,0.9366917,0.28977752,0.16775751,0.3028368,0.22589704
0.5806396646506398,0.7223696,0.9481367,0.9466322,0.056716833,0.23569322,0.22341968,0.15509835
0.9611549338663332,1.0962963,0.9931993,0.9861819,0.14020918,0.44750345,0.045138314,-0.011770182
0.7658320726417508,0.847245,0.9719778,0.95261246,0.12553173,0.27869087,-0.02783999,-0.033658747
0.7656882404200936,0.5724491,0.9868274,0.95187503,0.091577955,0.11472761,-1.2537627,0.11941951
0.8159141930656023,0.79370505,0.9646665,0.9624521,0.26427996,0.17252581,-0.08354975,0.5112517
0.8456265610169326,1.0227766,0.9643134,0.9492872,0.48108554,0.5355208,0.15191177,-0.41781154
0.8682017408881963,1.0245835,0.9861468,0.97933245,0.1755306,0.29182252,0.6929135,0.22391818
0.9689011412633264,0.6946545,0.9834989,0.9765188,0.27557942,0.3406524,0.7611915,0.007103076
0.7515162313366355,0.71453327,0.9802501,0.9431663,0.11344329,0.2119497,-1.285725,-0.32903218
0.5895300508919865,0.9323077,0.9701551,0.9634369,0.13378422,0.20609598,0.53682935,0.4496362
0.6974728937812,0.5288789,0.95258343,0.93249756,0.09577999,0.09990135,-0.47491473,-0.65430045
0.7920522979141088,0.7460854,0.9557675,0.94801325,0.23331209,0.16067179,-0.32663035,-0.111254245
0.6792865403491495,0.798077,0.99228334,0.9682337,0.07580507,0.1958303,0.9175822,0.734106
0.6591876071047934,0.8526435,0.96385974,0.95443225,0.18367586,0.2043947,0.8701125,0.6692328
0.884748925307668,1.072015,0.9747644,0.9806716,0.32234013,0.2834394,-0.8214915,-0.5862716
0.8970575944384873,0.83158726,0.9944998,0.95633477,0.08584488,0.15303019,0.15532766,-0.2929326
0.9425033933390132,0.63723737,0.99322903,0.9766736,0.1451975,0.23252119,-0.35054788,-0.17576918
