IDcode,a,sigmasq,mean_criterion,sd_criterion,mad_criterion,mean_abs_diff_criterion
1235485,0.9002387,0.10214558,0.11732735,0.41005743,0.32062718,0.04442589
1235486,0.8961286,0.08023265,1.2884485,0.19039063,0.14292759,0.03184541
1235487,0.88924897,0.09326801,-0.07570195,0.25596112,0.21159416,0.041795645
1235488,0.89426905,0.08747427,-0.68157184,0.21521856,0.1722388,0.029768273
1235489,0.903008,0.14181656,-0.76885974,0.47007573,0.40753812,0.055545297
1235490,0.9022518,0.27903306,-1.0271856,0.6478946,0.5386158,0.10290092
1235491,0.91734976,0.23288867,-0.8019803,0.81504285,0.7145925,0.090868205
1235492,0.9039988,0.08480001,-0.47521043,0.38513127,0.31664494,0.03527778
1235493,0.8976983,0.10582217,0.049126085,0.33195376,0.27192345,0.039518986
1235494,0.89906734,0.08324531,-0.6304577,0.23481946,0.2013501,0.025832234
1235495,0.91761327,0.13192618,-1.7578458,0.4588797,0.3900064,0.05119922
1235496,0.92984104,1.2805313,-1.4242553,2.5559056,1.9609045,0.3121775
1235497,0.90564924,0.25892964,0.26049256,0.82312226,0.7273168,0.10984707
1235498,0.89733857,0.09391904,-0.32715142,0.3412313,0.30378175,0.04084454
1235499,0.9336464,0.32644567,0.31085667,1.4298937,1.1829715,0.10752288
1235500,0.898415,0.11543052,0.69885474,0.30876935,0.2494053,0.04439249
1235501,0.9247818,0.2553561,0.2603212,1.0421196,0.8618024,0.08763974
1235503,0.90523297,0.33637792,0.73312855,0.812102,0.66344285,0.11260948
1235504,0.8931993,0.122511975,-0.49216685,0.3430954,0.29576743,0.05226403
1235505,0.8930011,0.17844173,-0.07122527,0.48880413,0.4177278,0.08079802
1235506,0.9147767,0.107399575,1.3382185,0.5158602,0.434182,0.041196372
1235507,0.89278936,0.07426852,-0.008627443,0.22236237,0.17898245,0.028909823
1235508,0.89732546,0.11494001,-0.84419936,0.33377823,0.23144111,0.041368138
1235511,0.89699656,0.106247395,0.23272584,0.38405713,0.2861829,0.05068111
1235512,0.9154554,0.2830915,-1.3948087,0.8455341,0.7046963,0.10075609
1235513,0.8969145,0.06740709,0.4400161,0.2915983,0.25393122,0.02748108
1235514,0.90175116,0.1226131,0.25089818,0.43484795,0.35985795,0.052512024
1235516,0.8951061,0.08264052,-0.7669548,0.14899592,0.12039914,0.024886524
1235517,0.8948724,0.084072925,0.59581065,0.28472656,0.22606216,0.03429029
1235519,0.892394,0.06732756,-0.5138125,0.17857353,0.14009272,0.024491817
1235520,0.8997759,0.09746814,-0.9981944,0.30703342,0.24733639,0.03862076
1235521,0.9013834,0.0917677,0.7765976,0.46786064,0.36228493,0.04178615
1235522,0.89058805,0.06689937,-0.4042838,0.19134267,0.16432546,0.032096636
