IDcode,Age,Sex,Trial,Response,Stimulus,Confidence
4676373,19,1,79,0,-56,5
4676373,19,1,80,0,0,2
4676373,19,1,81,0,-32,5
4676373,19,1,82,0,16,5
4676373,19,1,83,0,-72,5
4676373,19,1,84,0,-8,5
4676373,19,1,85,0,-16,5
4676373,19,1,86,1,56,5
4676373,19,1,87,0,48,5
4676373,19,1,88,0,-56,5
4676373,19,1,89,0,-64,5
4676373,19,1,90,0,-40,5
4676373,19,1,91,1,48,5
4676373,19,1,92,0,-32,5
4676373,19,1,93,0,16,5
4676373,19,1,94,0,0,5
4676373,19,1,95,0,-72,6
4676373,19,1,96,0,-56,6
4676373,19,1,97,0,0,6
4676373,19,1,98,1,40,2
4676373,19,1,99,0,16,5
4676373,19,1,100,1,16,2
4676373,19,1,101,1,-8,2
4676373,19,1,102,1,8,2
4676373,19,1,103,1,48,3
4676373,19,1,104,1,8,5
4676373,19,1,105,0,24,2
4676373,19,1,106,0,32,2
4676373,19,1,107,1,24,5
4676373,19,1,108,0,-24,5
4676373,19,1,109,0,-16,5
4676373,19,1,110,1,56,2
4676373,19,1,111,0,24,3
4676373,19,1,112,1,64,6
4676373,19,1,113,1,-16,2
4676373,19,1,114,1,40,2
4676373,19,1,115,1,72,4
4676373,19,1,116,1,-48,1
4676373,19,1,117,0,8,4
4676373,19,1,118,1,72,5
4676373,19,1,119,0,0,5
4676373,19,1,120,0,-16,5
4676373,19,1,121,1,48,4
4676373,19,1,122,0,-8,5
4676373,19,1,123,0,40,3
4676373,19,1,124,0,-24,5
4676373,19,1,125,0,-72,5
4676373,19,1,126,0,8,4
4676373,19,1,127,0,-64,6
4676373,19,1,128,0,-8,6
4676373,19,1,129,0,-24,6
4676373,19,1,130,1,64,6
4676373,19,1,131,1,56,4
4676373,19,1,132,0,-64,6
4676373,19,1,133,1,32,3
4676373,19,1,134,1,64,5
4676373,19,1,135,0,-40,5
4676373,19,1,136,1,40,6
4676373,19,1,137,1,72,2
4676373,19,1,138,0,-72,5
4676373,19,1,139,1,64,4
4676373,19,1,140,0,-56,6
4676373,19,1,141,0,-24,6
4676373,19,1,142,0,-32,4
4676373,19,1,143,0,-40,5
4676373,19,1,144,1,72,5
4676373,19,1,145,0,24,3
4676373,19,1,146,1,32,5
4676373,19,1,147,0,-48,5
4676373,19,1,148,0,-64,6
4676373,19,1,149,0,-48,6
4676373,19,1,150,0,-40,4
4676373,19,1,151,1,56,6
4676373,19,1,152,0,-32,4
4676552,24,1,1,0,56,2
4676552,24,1,2,1,72,4
4676552,24,1,3,0,48,3
4676552,24,1,4,0,0,3
4676552,24,1,5,0,-48,5
4676552,24,1,6,0,-32,1
4676552,24,1,7,0,-40,5
4676552,24,1,8,0,-72,4
4676552,24,1,9,1,24,2
4676552,24,1,10,0,16,3
4676552,24,1,11,1,32,4
4676552,24,1,12,0,-16,3
4676552,24,1,13,1,-24,4
4676552,24,1,14,0,24,1
4676552,24,1,15,1,-56,3
4676552,24,1,16,1,56,3
4676552,24,1,17,0,-72,6
4676552,24,1,18,0,16,1
4676552,24,1,19,0,40,3
4676552,24,1,20,0,-16,5
4676552,24,1,21,1,56,5
4676552,24,1,22,1,8,4
4676552,24,1,23,0,-64,4
4676552,24,1,24,0,0,1
4676552,24,1,25,1,72,4
4676552,24,1,26,0,64,3
4676552,24,1,27,0,-72,4
4676552,24,1,28,0,48,4
4676552,24,1,29,0,-16,4
4676552,24,1,30,1,64,4
4676552,24,1,31,0,-40,4
4676552,24,1,32,1,48,3
4676552,24,1,33,0,-24,6
4676552,24,1,34,0,-8,5
4676552,24,1,35,1,-16,2
4676552,24,1,36,0,-64,4
4676552,24,1,37,0,-8,2
4676552,24,1,38,0,-48,4
4676552,24,1,39,1,64,5
4676552,24,1,40,0,-8,2
4676552,24,1,41,0,-56,5
4676552,24,1,42,0,-8,2
4676552,24,1,43,1,40,3
4676552,24,1,44,0,-40,5
4676552,24,1,45,1,32,2
4676552,24,1,46,0,-56,3
4676552,24,1,47,1,0,4
4676552,24,1,48,0,-72,6
4676552,24,1,49,0,0,2
4676552,24,1,50,0,-56,5
4676552,24,1,51,0,8,1
4676552,24,1,52,0,24,2
4676552,24,1,53,0,40,4
4676552,24,1,54,0,-32,2
4676552,24,1,55,1,40,4
4676552,24,1,56,0,-24,2
4676552,24,1,57,0,-64,6
4676552,24,1,58,0,8,2
4676552,24,1,59,0,-32,5
4676552,24,1,60,1,32,4
4676552,24,1,61,0,16,4
4676552,24,1,62,0,48,2
4676552,24,1,63,0,-24,1
4676552,24,1,64,1,24,2
4676552,24,1,65,1,72,6
4676552,24,1,66,0,-48,4
4676552,24,1,67,0,8,4
4676552,24,1,68,0,-32,5
4676552,24,1,69,0,16,3
4676552,24,1,70,1,64,6
4676552,24,1,71,1,72,4
4676552,24,1,72,0,-48,4
4676552,24,1,73,0,-64,5
4676552,24,1,74,1,32,4
4676552,24,1,75,1,56,4
4676552,24,1,76,0,-40,2
4676552,24,1,77,0,-56,1
4676552,24,1,78,0,-16,3
4676552,24,1,79,0,-56,4
4676552,24,1,80,1,-40,3
4676552,24,1,81,0,-8,1
4676552,24,1,82,1,40,4
4676552,24,1,83,1,24,4
4676552,24,1,84,0,-72,4
4676552,24,1,85,1,48,2
4676552,24,1,86,1,72,6
4676552,24,1,87,0,-48,3
4676552,24,1,88,1,8,3
4676552,24,1,89,0,-24,1
4676552,24,1,90,0,-16,1
4676552,24,1,91,1,-56,2
4676552,24,1,92,1,40,3
4676552,24,1,93,0,24,1
4676552,24,1,94,0,-32,5
4676552,24,1,95,0,-72,5
4676552,24,1,96,0,8,1
4676552,24,1,97,0,-40,6
4676552,24,1,98,0,-72,6
4676552,24,1,99,1,16,2
4676552,24,1,100,1,16,1
4676552,24,1,101,1,16,1
4676552,24,1,102,0,0,3
4676552,24,1,103,0,-64,6
4676552,24,1,104,1,56,5
4676552,24,1,105,1,64,5
4676552,24,1,106,0,-40,5
4676552,24,1,107,1,-24,5
4676552,24,1,108,0,0,1
4676552,24,1,109,0,-64,6
4676552,24,1,110,1,48,6
4676552,24,1,111,0,-16,6
4676552,24,1,112,1,8,6
4676552,24,1,113,0,24,2
4676552,24,1,114,1,64,3
4676552,24,1,115,0,-64,6
4676552,24,1,116,1,32,5
4676552,24,1,117,0,56,3
4676552,24,1,118,0,-8,3
4676552,24,1,119,0,-32,5
4676552,24,1,120,0,32,1
4676552,24,1,121,0,-8,4
4676552,24,1,122,1,32,4
4676552,24,1,123,0,-48,6
4676552,24,1,124,1,72,3
4676552,24,1,125,0,-48,6
4676552,24,1,126,1,72,4
4676552,24,1,127,0,40,4
4676552,24,1,128,0,48,2
4676552,24,1,129,1,-48,2
4676552,24,1,130,0,-32,5
4676552,24,1,131,0,-72,6
4676552,24,1,132,0,-24,1
4676552,24,1,133,0,-24,6
4676552,24,1,134,0,24,2
4676552,24,1,135,0,0,5
4676552,24,1,136,0,-56,3
4676552,24,1,137,0,-16,2
4676552,24,1,138,0,-8,2
4676552,24,1,139,0,8,2
4676552,24,1,140,1,56,2
4676552,24,1,141,1,16,2
4676552,24,1,142,0,-64,6
4676552,24,1,143,1,64,2
4676552,24,1,144,1,40,2
4676552,24,1,145,1,56,1
4676552,24,1,146,1,32,1
4676552,24,1,147,1,48,4
4676552,24,1,148,1,0,3
4676552,24,1,149,0,-32,4
4676552,24,1,150,1,64,6
4676552,24,1,151,1,72,4
4676552,24,1,152,0,-40,4
4676560,34,1,1,1,40,3
4676560,34,1,2,1,16,4
4676560,34,1,3,0,16,5
4676560,34,1,4,1,-32,3
4676560,34,1,5,0,-24,3
4676560,34,1,6,1,64,4
4676560,34,1,7,0,24,5
4676560,34,1,8,1,24,5
4676560,34,1,9,0,-64,6
4676560,34,1,10,1,32,4
4676560,34,1,11,1,-16,4
4676560,34,1,12,0,56,4
4676560,34,1,13,0,-40,4
4676560,34,1,14,0,0,5
4676560,34,1,15,0,-8,5
4676560,34,1,16,0,40,4
4676560,34,1,17,1,72,4
4676560,34,1,18,0,-16,4
4676560,34,1,19,0,-56,4
4676560,34,1,20,0,72,3
4676560,34,1,21,0,-48,4
4676560,34,1,22,0,56,4
4676560,34,1,23,0,-8,5
4676560,34,1,24,1,64,5
4676560,34,1,25,0,-48,5
4676560,34,1,26,1,0,4
4676560,34,1,27,0,-56,5
4676560,34,1,28,0,32,5
4676560,34,1,29,0,0,5
4676560,34,1,30,0,-40,6
4676560,34,1,31,0,-72,6
4676560,34,1,32,0,16,3
4676560,34,1,33,1,48,4
4676560,34,1,34,0,-40,4
4676560,34,1,35,1,8,4
4676560,34,1,36,0,-48,4
4676560,34,1,37,0,-48,6
4676560,34,1,38,0,-64,6
4676560,34,1,39,1,56,4
4676560,34,1,40,1,40,4
4676560,34,1,41,0,-32,6
4676560,34,1,42,0,-72,6
4676560,34,1,43,0,-40,6
4676560,34,1,44,1,72,6
4676560,34,1,45,0,-16,6
4676560,34,1,46,1,48,6
4676560,34,1,47,0,-72,6
4676560,34,1,48,1,56,3
4676560,34,1,49,0,16,4
4676560,34,1,50,0,40,4
4676560,34,1,51,0,-64,6
4676560,34,1,52,0,-24,6
4676560,34,1,53,0,8,5
4676560,34,1,54,1,48,6
4676560,34,1,55,0,-8,6
4676560,34,1,56,0,-56,6
4676560,34,1,57,1,64,5
4676560,34,1,58,0,48,4
4676560,34,1,59,1,72,4
4676560,34,1,60,0,24,4
4676560,34,1,61,0,8,4
4676560,34,1,62,0,-64,6
4676560,34,1,63,1,-8,3
4676560,34,1,64,1,64,6
4676560,34,1,65,0,-32,4
4676560,34,1,66,0,24,4
4676560,34,1,67,0,-32,5
4676560,34,1,68,1,-16,5
4676560,34,1,69,1,32,4
4676560,34,1,70,0,32,4
4676560,34,1,71,0,8,5
4676560,34,1,72,0,-72,4
4676560,34,1,73,0,-24,6
4676560,34,1,74,0,-24,6
4676560,34,1,75,0,0,4
4676560,34,1,76,0,-56,6
4676560,34,1,77,0,-24,3
4676560,34,1,78,1,-16,3
4676560,34,1,79,0,-24,6
4676560,34,1,80,1,8,4
4676560,34,1,81,1,8,3
4676560,34,1,82,0,-16,6
4676560,34,1,83,1,48,4
4676560,34,1,84,0,-72,5
4676560,34,1,85,1,16,6
4676560,34,1,86,0,-56,5
4676560,34,1,87,0,-48,4
4676560,34,1,88,0,16,3
4676560,34,1,89,0,-72,6
4676560,34,1,90,1,32,6
4676560,34,1,91,1,24,6
4676560,34,1,92,1,24,3
4676560,34,1,93,1,56,6
4676560,34,1,94,1,40,6
4676560,34,1,95,1,56,3
4676560,34,1,96,1,0,5
4676560,34,1,97,0,-56,6
4676560,34,1,98,1,72,4
4676560,34,1,99,0,-32,5
4676560,34,1,100,1,48,6
4676560,34,1,101,1,72,6
4676560,34,1,102,1,24,3
4676560,34,1,103,0,-32,6
4676560,34,1,104,1,64,6
4676560,34,1,105,0,-64,6
4676560,34,1,106,0,-8,6
4676560,34,1,107,0,-40,6
4676560,34,1,108,1,0,6
4676560,34,1,109,1,24,6
4676560,34,1,110,0,-64,6
4676560,34,1,111,0,-24,6
4676560,34,1,112,1,40,3
4676560,34,1,113,1,64,6
4676560,34,1,114,0,-8,5
4676560,34,1,115,0,8,5
4676560,34,1,116,0,-8,4
4676560,34,1,117,0,-56,6
4676560,34,1,118,0,-72,6
4676560,34,1,119,0,-16,6
4676560,34,1,120,0,64,4
4676560,34,1,121,1,72,4
4676560,34,1,122,0,-16,3
4676560,34,1,123,1,48,2
4676560,34,1,124,0,-72,6
4676560,34,1,125,1,32,3
4676560,34,1,126,0,-32,6
4676560,34,1,127,0,32,4
4676560,34,1,128,0,-40,6
4676560,34,1,129,0,-40,4
4676560,34,1,130,0,16,4
4676560,34,1,131,0,-32,4
4676560,34,1,132,0,-48,4
4676560,34,1,133,0,-48,4
4676560,34,1,134,1,40,3
4676560,34,1,135,0,8,3
4676560,34,1,136,0,-48,4
4676560,34,1,137,1,56,5
4676560,34,1,138,1,64,6
4676560,34,1,139,1,56,6
4676560,34,1,140,1,48,4
4676560,34,1,141,0,-64,6
4676560,34,1,142,1,0,2
4676560,34,1,143,1,40,2
4676560,34,1,144,0,-64,6
4676560,34,1,145,1,72,6
4676560,34,1,146,0,-24,4
4676560,34,1,147,1,16,5
4676560,34,1,148,0,-8,4
4676560,34,1,149,0,-40,5
4676560,34,1,150,0,0,5
4676560,34,1,151,0,-56,6
4676560,34,1,152,1,32,5
4676574,46,1,1,1,40,5
4676574,46,1,2,1,32,6
4676574,46,1,3,1,40,5
4676574,46,1,4,1,64,6
4676574,46,1,5,0,-16,3
4676574,46,1,6,1,16,4
4676574,46,1,7,0,24,3
4676574,46,1,8,1,-16,6
4676574,46,1,9,1,32,6
4676574,46,1,10,1,16,6
4676574,46,1,11,1,56,6
4676574,46,1,12,1,32,6
4676574,46,1,13,1,16,6
4676574,46,1,14,0,-72,6
4676574,46,1,15,1,64,6
4676574,46,1,16,0,-56,6
4676574,46,1,17,0,56,6
4676574,46,1,18,1,48,6
4676574,46,1,19,1,48,6
4676574,46,1,20,1,-64,4
4676574,46,1,21,0,-8,4
4676574,46,1,22,0,-64,6
4676574,46,1,23,0,-64,5
4676574,46,1,24,0,-48,5
4676574,46,1,25,1,56,4
4676574,46,1,26,1,72,6
4676574,46,1,27,0,0,6
4676574,46,1,28,0,-16,6
4676574,46,1,29,0,-8,6
4676574,46,1,30,1,72,4
4676574,46,1,31,0,56,6
4676574,46,1,32,0,-56,6
4676574,46,1,33,1,24,6
4676574,46,1,34,0,-40,6
4676574,46,1,35,0,48,5
4676574,46,1,36,1,-40,5
4676574,46,1,37,0,-24,6
4676574,46,1,38,1,8,5
4676574,46,1,39,0,-32,4
4676574,46,1,40,0,-48,6
4676574,46,1,41,0,-48,6
4676574,46,1,42,1,32,6
4676574,46,1,43,0,-16,6
4676574,46,1,44,1,64,6
4676574,46,1,45,0,-56,4
4676574,46,1,46,0,-56,5
4676574,46,1,47,0,8,6
4676574,46,1,48,1,0,5
4676574,46,1,49,1,64,6
4676574,46,1,50,1,0,6
4676574,46,1,51,0,-24,4
4676574,46,1,52,1,8,4
4676574,46,1,53,0,-24,5
4676574,46,1,54,1,24,5
4676574,46,1,55,1,0,4
4676574,46,1,56,1,72,6
4676574,46,1,57,0,-8,3
4676574,46,1,58,1,48,6
4676574,46,1,59,0,8,4
4676574,46,1,60,0,-32,6
4676574,46,1,61,1,72,6
4676574,46,1,62,0,-72,6
4676574,46,1,63,0,-40,4
4676574,46,1,64,0,-72,6
4676574,46,1,65,0,-40,6
4676574,46,1,66,1,16,5
4676574,46,1,67,0,-64,6
4676574,46,1,68,0,40,5
4676574,46,1,69,0,-48,6
4676574,46,1,70,0,-8,2
4676574,46,1,71,0,-24,6
4676574,46,1,72,0,-72,6
4676574,46,1,73,0,40,4
4676574,46,1,74,0,-32,6
4676574,46,1,75,1,24,5
4676574,46,1,76,0,-32,3
4676574,46,1,77,1,-32,5
4676574,46,1,78,0,8,4
4676574,46,1,79,0,-24,5
4676574,46,1,80,0,-48,4
4676574,46,1,81,0,-16,4
4676574,46,1,82,0,24,6
